类别：健康

周,老化: (美国),公共卫生: (美国)
2019-11-24,25,12
2019-12-01,27,17
2019-12-08,25,15
2019-12-15,26,13
2019-12-22,32,9
2019-12-29,34,11
2020-01-05,29,15
2020-01-12,30,17
2020-01-19,29,17
2020-01-26,31,24
2020-02-02,30,20
2020-02-09,30,17
2020-02-16,28,20
2020-02-23,40,22
2020-03-01,64,36
2020-03-08,100,53
2020-03-15,95,70
2020-03-22,67,62
2020-03-29,55,54
2020-04-05,45,49
2020-04-12,39,39
2020-04-19,40,40
2020-04-26,38,37
2020-05-03,38,35
2020-05-10,38,36
2020-05-17,36,31
2020-05-24,34,28
2020-05-31,27,28
2020-06-07,30,30
2020-06-14,30,32
2020-06-21,33,31
2020-06-28,34,32
2020-07-05,41,34
2020-07-12,41,34
2020-07-19,34,32
2020-07-26,33,30
2020-08-02,33,29
2020-08-09,32,27
2020-08-16,29,25
2020-08-23,27,27
2020-08-30,29,27
2020-09-06,28,25
2020-09-13,28,26
2020-09-20,34,25
2020-09-27,47,23
2020-10-04,37,24
2020-10-11,32,24
2020-10-18,31,24
2020-10-25,34,24
2020-11-01,26,18
2020-11-08,36,24
2020-11-15,45,30
2020-11-22,37,19
2020-11-29,37,25
2020-12-06,41,25
2020-12-13,35,23
2020-12-20,30,19
2020-12-27,33,22
2021-01-03,29,32
2021-01-10,27,46
2021-01-17,28,46
2021-01-24,32,45
2021-01-31,31,37
2021-02-07,30,33
2021-02-14,28,28
2021-02-21,30,29
2021-02-28,28,32
2021-03-07,27,30
2021-03-14,26,30
2021-03-21,25,28
2021-03-28,26,28
2021-04-04,27,26
2021-04-11,28,22
2021-04-18,27,21
2021-04-25,27,19
2021-05-02,27,22
2021-05-09,29,20
2021-05-16,25,18
2021-05-23,26,16
2021-05-30,25,15
2021-06-06,24,16
2021-06-13,25,16
2021-06-20,24,15
2021-06-27,24,16
2021-07-04,25,16
2021-07-11,27,18
2021-07-18,26,18
2021-07-25,28,19
2021-08-01,27,19
2021-08-08,27,22
2021-08-15,25,23
2021-08-22,26,24
2021-08-29,27,25
2021-09-05,26,21
2021-09-12,26,22
2021-09-19,25,23
2021-09-26,27,21
2021-10-03,27,21
2021-10-10,25,19
2021-10-17,24,19
2021-10-24,26,18
2021-10-31,23,19
2021-11-07,25,21
2021-11-14,26,21
2021-11-21,21,14
2021-11-28,28,20
2021-12-05,27,19
2021-12-12,26,20
2021-12-19,22,16
2021-12-26,24,17
2022-01-02,29,31
2022-01-09,29,28
2022-01-16,26,23
2022-01-23,30,23
2022-01-30,28,19
2022-02-06,29,24
2022-02-13,30,22
2022-02-20,29,21
2022-02-27,30,23
2022-03-06,26,20
2022-03-13,28,19
2022-03-20,29,20
2022-03-27,29,21
2022-04-03,30,21
2022-04-10,30,20
2022-04-17,30,20
2022-04-24,31,20
2022-05-01,28,20
2022-05-08,29,19
2022-05-15,26,17
2022-05-22,26,17
2022-05-29,25,15
2022-06-05,25,15
2022-06-12,26,16
2022-06-19,27,17
2022-06-26,26,16
2022-07-03,25,15
2022-07-10,28,18
2022-07-17,27,17
2022-07-24,29,17
2022-07-31,27,20
2022-08-07,25,17
2022-08-14,26,16
2022-08-21,29,20
2022-08-28,28,20
2022-09-04,27,20
2022-09-11,29,20
2022-09-18,29,20
2022-09-25,27,19
2022-10-02,28,19
2022-10-09,26,19
2022-10-16,29,20
2022-10-23,29,17
2022-10-30,29,17
2022-11-06,25,17
2022-11-13,29,18
2022-11-20,25,13
2022-11-27,30,19
2022-12-04,30,17
2022-12-11,29,16
2022-12-18,21,12
2022-12-25,22,11
2023-01-01,27,12
2023-01-08,30,17
2023-01-15,33,19
2023-01-22,33,19
2023-01-29,32,21
2023-02-05,32,18
2023-02-12,32,17
2023-02-19,30,18
