类别：健康

周,老化: (美国),口腔: (美国)
2022-03-27,20,86
2022-04-03,21,88
2022-04-10,21,85
2022-04-17,21,89
2022-04-24,22,88
2022-05-01,20,87
2022-05-08,20,87
2022-05-15,18,83
2022-05-22,18,86
2022-05-29,17,88
2022-06-05,18,89
2022-06-12,18,89
2022-06-19,19,92
2022-06-26,18,95
2022-07-03,17,93
2022-07-10,19,93
2022-07-17,19,97
2022-07-24,20,97
2022-07-31,19,98
2022-08-07,17,97
2022-08-14,18,97
2022-08-21,20,99
2022-08-28,20,95
2022-09-04,19,87
2022-09-11,20,93
2022-09-18,21,89
2022-09-25,19,89
2022-10-02,19,90
2022-10-09,18,90
2022-10-16,20,94
2022-10-23,20,87
2022-10-30,20,90
2022-11-06,18,91
2022-11-13,20,93
2022-11-20,18,91
2022-11-27,21,93
2022-12-04,21,94
2022-12-11,20,94
2022-12-18,15,92
2022-12-25,16,96
2023-01-01,19,91
2023-01-08,21,95
2023-01-15,23,95
2023-01-22,23,96
2023-01-29,22,97
2023-02-05,22,100
2023-02-12,22,95
2023-02-19,21,94
