类别：工商业

周,农业: (美国),印刷: (美国)
2020-01-19,28,81
2020-01-26,31,81
2020-02-02,32,89
2020-02-09,31,90
2020-02-16,34,86
2020-02-23,32,81
2020-03-01,31,81
2020-03-08,27,68
2020-03-15,24,53
2020-03-22,28,54
2020-03-29,33,63
2020-04-05,30,62
2020-04-12,26,70
2020-04-19,31,72
2020-04-26,32,70
2020-05-03,32,75
2020-05-10,31,76
2020-05-17,29,73
2020-05-24,25,70
2020-05-31,23,71
2020-06-07,25,75
2020-06-14,24,80
2020-06-21,24,76
2020-06-28,23,75
2020-07-05,24,79
2020-07-12,23,81
2020-07-19,24,78
2020-07-26,25,82
2020-08-02,23,82
2020-08-09,24,86
2020-08-16,26,83
2020-08-23,28,83
2020-08-30,29,77
2020-09-06,28,81
2020-09-13,31,79
2020-09-20,31,76
2020-09-27,28,73
2020-10-04,28,76
2020-10-11,25,73
2020-10-18,26,77
2020-10-25,25,68
2020-11-01,20,57
2020-11-08,25,69
2020-11-15,25,70
2020-11-22,22,64
2020-11-29,25,81
2020-12-06,25,90
2020-12-13,23,92
2020-12-20,20,70
2020-12-27,20,60
2021-01-03,24,68
2021-01-10,25,71
2021-01-17,26,71
2021-01-24,26,74
2021-01-31,29,75
2021-02-07,28,72
2021-02-14,27,59
2021-02-21,30,68
2021-02-28,29,69
2021-03-07,28,70
2021-03-14,24,68
2021-03-21,26,66
2021-03-28,25,66
2021-04-04,25,69
2021-04-11,26,73
2021-04-18,27,75
2021-04-25,28,73
2021-05-02,25,84
2021-05-09,25,81
2021-05-16,25,72
2021-05-23,26,72
2021-05-30,22,64
2021-06-06,21,73
2021-06-13,23,77
2021-06-20,21,71
2021-06-27,23,68
2021-07-04,22,64
2021-07-11,21,71
2021-07-18,22,69
2021-07-25,23,82
2021-08-01,22,81
2021-08-08,22,71
2021-08-15,24,86
2021-08-22,25,83
2021-08-29,25,86
2021-09-05,25,82
2021-09-12,24,85
2021-09-19,25,83
2021-09-26,26,78
2021-10-03,25,78
2021-10-10,26,73
2021-10-17,26,74
2021-10-24,26,80
2021-10-31,26,74
2021-11-07,25,73
2021-11-14,23,75
2021-11-21,20,55
2021-11-28,24,82
2021-12-05,23,85
2021-12-12,23,80
2021-12-19,18,70
2021-12-26,20,56
2022-01-02,26,68
2022-01-09,26,68
2022-01-16,25,68
2022-01-23,28,75
2022-01-30,28,76
2022-02-06,31,77
2022-02-13,31,77
2022-02-20,29,79
2022-02-27,30,82
2022-03-06,29,80
2022-03-13,28,77
2022-03-20,29,78
2022-03-27,31,85
2022-04-03,31,82
2022-04-10,29,80
2022-04-17,31,80
2022-04-24,33,85
2022-05-01,38,87
2022-05-08,31,82
2022-05-15,28,73
2022-05-22,26,72
2022-05-29,24,70
2022-06-05,22,77
2022-06-12,22,77
2022-06-19,23,75
2022-06-26,23,71
2022-07-03,23,73
2022-07-10,23,78
2022-07-17,25,73
2022-07-24,23,81
2022-07-31,24,80
2022-08-07,25,88
2022-08-14,27,83
2022-08-21,28,89
2022-08-28,28,86
2022-09-04,27,87
2022-09-11,30,85
2022-09-18,29,85
2022-09-25,27,81
2022-10-02,28,85
2022-10-09,28,83
2022-10-16,28,86
2022-10-23,28,82
2022-10-30,28,76
2022-11-06,25,77
2022-11-13,27,79
2022-11-20,21,65
2022-11-27,27,86
2022-12-04,27,93
2022-12-11,26,100
2022-12-18,21,84
2022-12-25,21,64
2023-01-01,26,74
2023-01-08,32,82
2023-01-15,36,82
2023-01-22,33,84
2023-01-29,34,82
2023-02-05,35,86
2023-02-12,34,83
2023-02-19,32,84
