类别：健康

周,老化: (美国),营养: (美国)
2020-04-12,21,57
2020-04-19,22,68
2020-04-26,21,64
2020-05-03,21,71
2020-05-10,20,69
2020-05-17,20,71
2020-05-24,18,71
2020-05-31,15,67
2020-06-07,16,72
2020-06-14,16,72
2020-06-21,18,70
2020-06-28,19,73
2020-07-05,22,75
2020-07-12,22,74
2020-07-19,18,71
2020-07-26,18,73
2020-08-02,18,70
2020-08-09,17,69
2020-08-16,16,70
2020-08-23,15,66
2020-08-30,16,71
2020-09-06,15,68
2020-09-13,15,68
2020-09-20,19,70
2020-09-27,26,65
2020-10-04,20,67
2020-10-11,17,61
2020-10-18,17,65
2020-10-25,18,54
2020-11-01,14,45
2020-11-08,19,55
2020-11-15,25,58
2020-11-22,20,45
2020-11-29,20,51
2020-12-06,22,51
2020-12-13,19,48
2020-12-20,16,39
2020-12-27,18,52
2021-01-03,16,71
2021-01-10,14,74
2021-01-17,15,75
2021-01-24,17,75
2021-01-31,17,78
2021-02-07,16,69
2021-02-14,15,65
2021-02-21,16,80
2021-02-28,15,78
2021-03-07,15,72
2021-03-14,14,71
2021-03-21,13,72
2021-03-28,14,68
2021-04-04,15,66
2021-04-11,15,74
2021-04-18,15,70
2021-04-25,15,71
2021-05-02,15,68
2021-05-09,16,61
2021-05-16,14,62
2021-05-23,14,66
2021-05-30,14,65
2021-06-06,13,58
2021-06-13,13,63
2021-06-20,13,63
2021-06-27,13,62
2021-07-04,14,64
2021-07-11,15,63
2021-07-18,14,61
2021-07-25,15,63
2021-08-01,15,60
2021-08-08,14,58
2021-08-15,13,58
2021-08-22,14,59
2021-08-29,15,57
2021-09-05,14,54
2021-09-12,14,60
2021-09-19,13,56
2021-09-26,15,56
2021-10-03,15,57
2021-10-10,13,54
2021-10-17,13,57
2021-10-24,14,54
2021-10-31,13,50
2021-11-07,14,53
2021-11-14,14,52
2021-11-21,12,40
2021-11-28,15,53
2021-12-05,15,54
2021-12-12,14,44
2021-12-19,12,41
2021-12-26,13,42
2022-01-02,16,70
2022-01-09,16,67
2022-01-16,14,63
2022-01-23,16,73
2022-01-30,15,71
2022-02-06,16,79
2022-02-13,16,76
2022-02-20,16,77
2022-02-27,16,82
2022-03-06,14,80
2022-03-13,15,76
2022-03-20,16,77
2022-03-27,15,77
2022-04-03,16,77
2022-04-10,16,75
2022-04-17,16,73
2022-04-24,17,76
2022-05-01,15,71
2022-05-08,16,69
2022-05-15,14,68
2022-05-22,14,65
2022-05-29,13,64
2022-06-05,14,67
2022-06-12,14,68
2022-06-19,15,67
2022-06-26,14,65
2022-07-03,13,60
2022-07-10,15,67
2022-07-17,15,68
2022-07-24,15,69
2022-07-31,15,65
2022-08-07,13,65
2022-08-14,14,64
2022-08-21,16,73
2022-08-28,15,67
2022-09-04,14,63
2022-09-11,16,70
2022-09-18,16,69
2022-09-25,15,62
2022-10-02,15,57
2022-10-09,14,61
2022-10-16,16,58
2022-10-23,16,61
2022-10-30,16,61
2022-11-06,14,55
2022-11-13,16,57
2022-11-20,14,43
2022-11-27,16,53
2022-12-04,16,55
2022-12-11,15,52
2022-12-18,12,48
2022-12-25,12,45
2023-01-01,14,72
2023-01-08,16,81
2023-01-15,18,77
2023-01-22,18,79
2023-01-29,17,75
2023-02-05,17,80
2023-02-12,17,71
2023-02-19,16,78
