类别：法律和政府

周,政府: (美国),武装力量: (美国)
2020-02-02,19,25
2020-02-09,18,25
2020-02-16,17,23
2020-02-23,18,23
2020-03-01,17,22
2020-03-08,21,22
2020-03-15,59,26
2020-03-22,52,23
2020-03-29,37,23
2020-04-05,30,21
2020-04-12,30,22
2020-04-19,26,20
2020-04-26,24,21
2020-05-03,22,22
2020-05-10,21,23
2020-05-17,17,22
2020-05-24,15,27
2020-05-31,16,31
2020-06-07,14,25
2020-06-14,12,24
2020-06-21,13,23
2020-06-28,12,25
2020-07-05,13,24
2020-07-12,13,22
2020-07-19,14,23
2020-07-26,14,24
2020-08-02,12,22
2020-08-09,14,21
2020-08-16,16,22
2020-08-23,19,22
2020-08-30,21,24
2020-09-06,22,25
2020-09-13,26,21
2020-09-20,28,21
2020-09-27,23,28
2020-10-04,23,21
2020-10-11,18,22
2020-10-18,21,22
2020-10-25,19,22
2020-11-01,18,20
2020-11-08,20,32
2020-11-15,20,23
2020-11-22,12,22
2020-11-29,17,25
2020-12-06,21,24
2020-12-13,22,23
2020-12-20,17,20
2020-12-27,13,22
2021-01-03,20,22
2021-01-10,22,29
2021-01-17,20,30
2021-01-24,19,22
2021-01-31,17,23
2021-02-07,17,21
2021-02-14,14,21
2021-02-21,15,22
2021-02-28,15,22
2021-03-07,16,22
2021-03-14,14,21
2021-03-21,12,21
2021-03-28,11,20
2021-04-04,12,22
2021-04-11,13,24
2021-04-18,13,21
2021-04-25,13,21
2021-05-02,13,23
2021-05-09,12,24
2021-05-16,13,23
2021-05-23,12,23
2021-05-30,12,26
2021-06-06,10,21
2021-06-13,10,21
2021-06-20,10,22
2021-06-27,10,22
2021-07-04,10,22
2021-07-11,11,22
2021-07-18,10,22
2021-07-25,10,21
2021-08-01,11,21
2021-08-08,11,21
2021-08-15,12,26
2021-08-22,14,28
2021-08-29,14,28
2021-09-05,15,22
2021-09-12,19,22
2021-09-19,18,20
2021-09-26,34,21
2021-10-03,17,20
2021-10-10,14,21
2021-10-17,15,21
2021-10-24,15,20
2021-10-31,14,22
2021-11-07,14,29
2021-11-14,14,21
2021-11-21,9,18
2021-11-28,20,22
2021-12-05,14,22
2021-12-12,12,22
2021-12-19,9,18
2021-12-26,9,20
2022-01-02,14,23
2022-01-09,16,22
2022-01-16,24,21
2022-01-23,20,25
2022-01-30,17,25
2022-02-06,19,25
2022-02-13,19,25
2022-02-20,18,47
2022-02-27,18,39
2022-03-06,19,30
2022-03-13,16,29
2022-03-20,18,26
2022-03-27,19,25
2022-04-03,19,25
2022-04-10,17,24
2022-04-17,19,24
2022-04-24,21,24
2022-05-01,21,25
2022-05-08,20,24
2022-05-15,20,26
2022-05-22,15,25
2022-05-29,12,26
2022-06-05,13,24
2022-06-12,13,24
2022-06-19,13,24
2022-06-26,13,24
2022-07-03,13,25
2022-07-10,12,25
2022-07-17,12,24
2022-07-24,12,24
2022-07-31,12,27
2022-08-07,14,25
2022-08-14,15,23
2022-08-21,20,24
2022-08-28,23,23
2022-09-04,22,23
2022-09-11,24,25
2022-09-18,24,25
2022-09-25,24,23
2022-10-02,22,23
2022-10-09,21,23
2022-10-16,22,25
2022-10-23,21,22
2022-10-30,22,24
2022-11-06,20,30
2022-11-13,20,24
2022-11-20,11,22
2022-11-27,20,23
2022-12-04,22,24
2022-12-11,24,25
2022-12-18,13,23
2022-12-25,10,23
2023-01-01,15,24
2023-01-08,20,25
2023-01-15,20,22
2023-01-22,23,24
2023-01-29,20,25
2023-02-05,22,25
2023-02-12,20,24
2023-02-19,18,23
